City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,la'ie,21.6477,-157.9253,26.98,79,100,2.68,US,1718866301
266,elassona,39.8947,22.1886,27.63,37,0,0.88,GR,1718866302
267,xuddur,4.1213,43.8894,28.72,51,27,9.66,SO,1718866302
268,la sarre,48.8002,-79.1996,16.37,97,100,2.56,CA,1718866185
269,fundao,-19.9341,-40.4047,20.74,93,2,1.11,BR,1718866303
270,lhokseumawe,5.1801,97.1507,30.3,68,94,3.23,ID,1718866303
271,xilin hot,43.9667,116.0333,31.53,21,100,7.0,CN,1718866303
272,lodwar,3.1191,35.5973,30.3,46,26,5.01,KE,1718866304
273,st. john's,47.5649,-52.7093,18.66,93,75,10.29,CA,1718866244
274,meulaboh,4.1363,96.1285,30.16,67,66,3.58,ID,1718866304
275,jinshi,29.6049,111.8701,29.19,78,54,2.22,CN,1718866304
276,selfoss,63.9331,-20.9971,8.36,84,100,1.61,IS,1718866305
277,susuman,62.7833,148.1667,21.63,40,63,3.26,RU,1718866306
278,tovarkovskiy,53.6822,38.2092,23.5,74,88,7.81,RU,1718866306
279,lerwick,60.1545,-1.1494,11.0,79,56,8.62,GB,1718866306
280,flying fish cove,-10.4217,105.6791,28.82,69,40,5.66,CX,1718866306
281,altamira,-3.2033,-52.2064,21.84,93,9,0.58,BR,1718866307
282,san borja,-14.8167,-66.85,21.06,98,100,1.2,BO,1718866307
283,sangueya,10.7,-14.3667,22.84,92,100,0.89,GN,1718866307
284,celanova,42.153,-7.9551,13.22,94,100,1.09,ES,1718866308
285,carutapera,-1.195,-46.02,23.67,95,27,2.54,BR,1718866308
286,new norfolk,-42.7826,147.0587,8.84,86,62,0.64,AU,1718866308
287,leiyang,26.4024,112.8591,33.44,66,99,3.94,CN,1718866309
288,fortuna,40.5982,-124.1573,12.19,94,100,0.89,US,1718866309
289,yonggwang-up,40.0183,127.4547,32.44,34,2,3.99,KP,1718866309
290,lubang,13.8584,120.124,29.47,74,100,3.17,PH,1718866310
291,puerto penasco,31.3167,-113.5333,26.77,50,0,1.37,MX,1718866310
292,motueka,-41.1333,173.0167,7.31,90,99,1.74,NZ,1718866310
293,huangyan,28.6478,121.2594,25.4,99,100,1.02,CN,1718866311
294,salinopolis,-0.6136,-47.3561,26.15,85,6,5.51,BR,1718866311
295,sanya,18.2431,109.505,33.09,75,20,3.0,CN,1718866312
296,abong mbang,3.9833,13.1833,23.36,84,14,0.41,CM,1718866312
297,nova vicosa,-17.8919,-39.3719,22.04,84,0,2.21,BR,1718866313
298,onega,63.9061,38.1404,12.26,95,100,1.76,RU,1718866313
299,barra de santo antonio,-9.4047,-35.5072,23.6,83,39,5.67,BR,1718866313
300,nabulao,9.6616,122.4577,24.39,96,100,2.12,PH,1718866314
301,swellendam,-34.0226,20.4417,11.57,76,5,1.53,ZA,1718866314
302,east ballina,-28.8667,153.5833,14.89,60,99,3.17,AU,1718866314
303,poshekhon'ye,58.4993,39.1353,15.18,93,100,4.16,RU,1718866315
304,kailua-kona,19.6406,-155.9956,25.98,91,75,1.54,US,1718866315
305,shingu,33.7333,135.9833,25.11,74,100,2.63,JP,1718866315
306,pont rouge,48.8833,-72.0825,23.16,92,100,4.46,CA,1718866316
307,tokar,18.4254,37.729,42.69,17,25,11.66,SD,1718866316
308,lamezia terme,38.9659,16.3092,32.27,78,0,1.54,IT,1718866316
309,rockland,41.1668,-74.0496,23.69,82,100,1.63,US,1718866281
310,mao,39.8885,4.2658,22.31,100,20,3.6,ES,1718866317
311,booue,-0.0921,11.9385,24.7,91,85,1.1,GA,1718866317
312,klaksvik,62.2266,-6.589,9.51,84,89,9.76,FO,1718866317
313,taoudenni,22.6783,-3.9836,36.67,11,37,7.13,ML,1718866318
314,coquimbo,-29.9533,-71.3436,12.21,79,0,5.66,CL,1718866318
315,kirkland lake,48.1446,-80.0377,19.16,77,99,1.54,CA,1718866318
316,mil'kovo,55.6078,37.7956,26.35,63,86,5.69,RU,1718866319
317,gelemso,8.8167,40.5167,23.47,52,94,3.15,ET,1718866319
318,ta`u,-14.2336,-169.5144,27.63,78,18,6.43,AS,1718866320
319,ciudad cuauhtemoc,22.1833,-97.8333,25.24,90,100,4.57,MX,1718866320
320,minas de marcona,-15.2119,-75.1103,10.65,92,76,4.69,PE,1718866320
321,douentza,14.9951,-2.9517,33.66,36,99,1.41,ML,1718866321
322,yuzhno-kurilsk,44.0306,145.8556,11.11,91,100,3.53,RU,1718866321
323,arkhangel'sk,64.5401,40.5433,22.06,53,40,3.0,RU,1718866321
324,machico,32.7,-16.7667,19.45,73,40,4.12,PT,1718866322
325,illizi,26.4833,8.4667,29.89,16,0,7.62,DZ,1718866324
326,san-pedro,4.7485,-6.6363,24.46,92,100,2.49,CI,1718866324
327,cascais,38.6979,-9.4215,17.51,83,75,9.83,PT,1718866325
328,klyuchi,52.2667,79.1667,21.28,43,100,1.64,RU,1718866325
329,ghat,24.9647,10.1728,31.27,19,0,1.05,LY,1718866325
330,puerto armuelles,8.2833,-82.8667,25.05,93,100,2.24,PA,1718866326
331,gazipasa,36.2694,32.3179,28.05,74,0,2.57,TR,1718866326
332,castillos,-34.1667,-53.8333,10.63,97,30,1.92,UY,1718866326
333,villa gesell,-37.2639,-56.973,5.03,78,0,4.5,AR,1718866197
334,kirakira,-10.4544,161.9205,26.68,87,100,5.18,SB,1718866327
335,krasnyy chikoy,50.3643,108.7512,18.7,89,100,3.51,RU,1718866327
336,khandyga,62.6667,135.6,20.92,47,36,2.8,RU,1718866328
337,sisimiut,66.9395,-53.6735,2.91,91,87,1.21,GL,1718866328
338,dudinka,69.4058,86.1778,3.36,80,100,3.39,RU,1718866328
339,grand falls-windsor,48.9332,-55.6649,19.72,91,0,4.67,CA,1718866329
340,nema,57.5067,50.5011,22.46,53,0,5.61,RU,1718866329
341,truth or consequences,33.1284,-107.2528,27.13,44,0,5.66,US,1718866329
342,itapuranga,-15.5622,-49.9486,16.73,58,0,1.19,BR,1718866330
343,puerto madryn,-42.7692,-65.0385,2.74,76,100,4.98,AR,1718866123
344,ylitornio,66.3089,23.6773,11.52,78,100,2.0,FI,1718866330
345,shimoda,34.6667,138.95,27.28,79,100,3.24,JP,1718866331
346,vadso,70.0744,29.7487,8.49,93,100,8.75,NO,1718866331
347,pavlovka,52.6897,47.1405,23.98,57,73,4.57,RU,1718866331
348,fuerte olimpo,-21.0415,-57.8738,24.95,40,80,2.94,PY,1718866331
349,kokopo,-4.352,152.2633,25.82,86,100,5.68,PG,1718866332
350,sola,-13.8833,167.55,28.37,84,75,0.0,VU,1718866332
351,nogliki,51.8333,143.1667,5.98,97,100,3.37,RU,1718866332
352,rio brilhante,-21.8019,-54.5464,19.27,48,0,2.27,BR,1718866270
353,iskateley,67.6803,53.1512,12.19,45,100,4.85,RU,1718866333
354,tarawa,1.419,172.984,30.05,79,40,3.6,KI,1718866334
355,mogocha,53.7333,119.7667,25.11,22,91,2.78,RU,1718866334
356,ouadda,8.0777,22.4007,25.25,75,93,1.86,CF,1718866334
357,enewetak,11.3474,162.3373,28.26,84,22,7.58,MH,1718866335
358,shache,38.4167,77.2406,32.77,16,100,1.58,CN,1718866335
359,santa cruz de el seibo,18.7656,-69.0389,24.21,90,99,0.77,DO,1718866335
360,fernley,39.608,-119.2518,19.82,13,91,1.79,US,1718866336
361,ampanihy,-24.7,44.75,23.51,61,0,0.79,MG,1718866336
362,ishigaki,24.3448,124.1572,32.07,84,40,6.17,JP,1718866336
363,thunder bay,48.4001,-89.3168,9.99,93,0,1.54,CA,1718866337
364,sinabang,2.4803,96.3801,30.57,68,74,3.94,ID,1718866337
